,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,A Love Letter To You 4 (Deluxe),1,3sFi8WcTvFE2u8pTaVTHJU,I Love You,spotify:track:3sFi8WcTvFE2u8pTaVTHJU,0.0699,0.732,0.736,0.0,0.0899,-3.916,0.0344,142.976,0.472,62
1,A Love Letter To You 4 (Deluxe),2,2AGj9do0rWaU1KkQWzxueo,The Way,spotify:track:2AGj9do0rWaU1KkQWzxueo,0.182,0.78,0.666,1.62e-05,0.147,-6.222,0.172,145.978,0.537,62
2,A Love Letter To You 4 (Deluxe),3,3BCDiaE7OfU2u9hNlUjJjN,YELL OH,spotify:track:3BCDiaE7OfU2u9hNlUjJjN,0.00437,0.851,0.537,0.0,0.297,-6.98,0.174,149.231,0.211,58
3,A Love Letter To You 4 (Deluxe),4,2wsA4fEHE7ig1B8TyGkZ12,How I Was Raised,spotify:track:2wsA4fEHE7ig1B8TyGkZ12,0.0833,0.633,0.687,0.0,0.103,-5.059,0.0726,160.035,0.486,63
4,A Love Letter To You 4 (Deluxe),5,0T3oEXdD4IKrIFD4qKRow5,OTF KNIGHTMARE,spotify:track:0T3oEXdD4IKrIFD4qKRow5,0.0901,0.732,0.607,0.0,0.715,-5.721,0.116,149.957,0.326,50
5,A Love Letter To You 4 (Deluxe),6,6Oe1Fae5XVnplpDwdRB4qU,Even Steven,spotify:track:6Oe1Fae5XVnplpDwdRB4qU,0.0411,0.75,0.485,0.0,0.104,-4.835,0.0679,81.465,0.172,50
6,A Love Letter To You 4 (Deluxe),7,46ljQNpi8cMWOUFOSZkY5j,Amazinggg,spotify:track:46ljQNpi8cMWOUFOSZkY5j,0.0514,0.763,0.644,0.0,0.11,-5.562,0.0771,134.003,0.559,53
7,A Love Letter To You 4 (Deluxe),8,1w63oxR5cYzGynGUg8sAIx,Koi,spotify:track:1w63oxR5cYzGynGUg8sAIx,0.841,0.645,0.497,0.0,0.131,-4.111,0.0265,120.036,0.602,52
8,A Love Letter To You 4 (Deluxe),9,5Tvw0vbgZ6b7iSMnFlC5nY,Leray,spotify:track:5Tvw0vbgZ6b7iSMnFlC5nY,0.789,0.774,0.195,0.00103,0.109,-12.233,0.087,132.847,0.369,47
9,A Love Letter To You 4 (Deluxe),10,16PB6ZaPUjHFyx361Yzv35,Who Needs Love,spotify:track:16PB6ZaPUjHFyx361Yzv35,0.763,0.85,0.516,0.0,0.0896,-7.664,0.0714,108.963,0.874,49
10,A Love Letter To You 4 (Deluxe),11,26lScTV9VbttgenkS598N0,Love Sick,spotify:track:26lScTV9VbttgenkS598N0,0.527,0.861,0.712,4.12e-05,0.622,-6.72,0.104,119.042,0.687,49
11,A Love Letter To You 4 (Deluxe),12,6DHcVScnGntV0MsE79HhJ5,Love Me More,spotify:track:6DHcVScnGntV0MsE79HhJ5,0.22,0.638,0.539,0.0,0.241,-5.853,0.0504,83.381,0.247,48
12,A Love Letter To You 4 (Deluxe),13,2QLnNQNPRQqjTLTpfWCMEf,Real Feel,spotify:track:2QLnNQNPRQqjTLTpfWCMEf,0.372,0.837,0.57,0.0,0.0862,-5.221,0.0767,74.514,0.425,46
13,A Love Letter To You 4 (Deluxe),14,5g221HnqdArRvZ88H2K3TZ,This Ain't That,spotify:track:5g221HnqdArRvZ88H2K3TZ,0.114,0.716,0.68,0.0,0.366,-4.755,0.0589,76.47,0.219,46
14,A Love Letter To You 4 (Deluxe),15,2AeuMXhRs9SWOsMrSC4UEN,6 Kiss,spotify:track:2AeuMXhRs9SWOsMrSC4UEN,0.109,0.687,0.449,0.0,0.282,-10.061,0.154,142.048,0.229,50
15,A Love Letter To You 4 (Deluxe),16,2KVNGW7BAtrAb7lsMSAPY8,Til The End of Time,spotify:track:2KVNGW7BAtrAb7lsMSAPY8,0.182,0.747,0.596,1.11e-06,0.319,-6.904,0.0292,120.006,0.502,45
16,A Love Letter To You 4 (Deluxe),17,4UvlcWACbFHY58AzTrPjQy,U Deserve It,spotify:track:4UvlcWACbFHY58AzTrPjQy,0.547,0.817,0.509,4.28e-06,0.0758,-7.287,0.0316,110.014,0.551,44
17,A Love Letter To You 4 (Deluxe),18,5QIcibWJRQj5eqNvXljrMu,Hate Me,spotify:track:5QIcibWJRQj5eqNvXljrMu,0.406,0.872,0.48,0.0,0.109,-7.184,0.0664,121.013,0.61,47
18,A Love Letter To You 4 (Deluxe),19,4kB0I1OEJrjtkmmNEAWE7d,All For Me,spotify:track:4kB0I1OEJrjtkmmNEAWE7d,0.505,0.445,0.737,0.0,0.0797,-5.516,0.483,74.374,0.642,43
19,A Love Letter To You 4 (Deluxe),20,2YuXu9LQ8JwJwJe2hzNy6B,Sickening,spotify:track:2YuXu9LQ8JwJwJe2hzNy6B,0.174,0.78,0.679,0.0,0.127,-4.554,0.0881,139.978,0.47,43
20,A Love Letter To You 4 (Deluxe),21,2kG4a1Ow8Xo8xlztwLrPtO,The Grinch,spotify:track:2kG4a1Ow8Xo8xlztwLrPtO,0.137,0.676,0.503,6.36e-05,0.0981,-6.115,0.0971,162.85,0.196,48
21,A Love Letter To You 4 (Deluxe),22,2Y8pRufys2rS3R5dzWxxqT,Death,spotify:track:2Y8pRufys2rS3R5dzWxxqT,0.0579,0.802,0.82,0.0,0.149,-5.969,0.146,164.005,0.613,45
22,A Love Letter To You 4 (Deluxe),23,2c22ZL9S5TD3W8OnfEYZgZ,RMP,spotify:track:2c22ZL9S5TD3W8OnfEYZgZ,0.433,0.732,0.411,0.0,0.369,-5.064,0.0648,126.005,0.0333,41
23,A Love Letter To You 4 (Deluxe),24,28moNs5phPTnwatbJkYarT,M's,spotify:track:28moNs5phPTnwatbJkYarT,0.719,0.781,0.672,0.0,0.275,-4.159,0.256,140.281,0.757,41
24,A Love Letter To You 4 (Deluxe),25,4uxfzOKjdBhygaf7fG8MRW,Bust Down Deux,spotify:track:4uxfzOKjdBhygaf7fG8MRW,0.181,0.744,0.677,0.0,0.158,-4.605,0.0873,155.954,0.417,41
25,A Love Letter To You 4 (Deluxe),26,2s8cMPo2kJI5bc0zcz0WlY,The Jungle Book,spotify:track:2s8cMPo2kJI5bc0zcz0WlY,0.0491,0.686,0.648,0.0,0.382,-6.055,0.0913,85.004,0.0538,42
26,A Love Letter To You 4 (Deluxe),27,7di2bksg1D5emzm1uHToQV,Chosen,spotify:track:7di2bksg1D5emzm1uHToQV,0.596,0.848,0.454,0.0,0.121,-6.934,0.151,116.968,0.558,42
27,A Love Letter To You 4 (Deluxe),28,7M26FYB0fgCnU6ON5RNKxA,Abandoned,spotify:track:7M26FYB0fgCnU6ON5RNKxA,0.926,0.801,0.153,0.0,0.109,-8.492,0.0428,130.18,0.429,43
